name,latitude,longitude,type,color,country
Bylis Ballsh,40.601944,19.740833,First tier,e41a1c,Albania
FK Kukësi,42.078889,20.420278,First tier,e41a1c,Albania
Flamurtari Vlorë,40.455922,19.488986,First tier,e41a1c,Albania
KF Laçi,41.64248,19.711672,First tier,e41a1c,Albania
KF Tirana,41.319,19.811,First tier,e41a1c,Albania
Partizani Tirana,41.318314,19.824075,First tier,e41a1c,Albania
Skënderbeu Korçë,40.625833,20.782778,First tier,e41a1c,Albania
Tërbuni Pukë,42.049924,19.897961,First tier,e41a1c,Albania
Teuta Durrës,41.326081,19.449856,First tier,e41a1c,Albania
Vllaznia Shkodër,42.070031,19.506558,First tier,e41a1c,Albania
ASM d'Oran,35.68338309,-0.6362950802,First tier,e41a1c,Algeria
DRB Tadjenanet,36.1213669,5.979250073,First tier,e41a1c,Algeria
JS Saoura,31.5759533,-2.231404781,First tier,e41a1c,Algeria
MO Béjaïa,36.74938558,5.046302676,First tier,e41a1c,Algeria
RC Arbaâ,36.47903869,2.81047225,First tier,e41a1c,Algeria
RC Relizane,35.73255271,0.5449926853,First tier,e41a1c,Algeria
USM Blida,36.49042952,2.846875191,First tier,e41a1c,Algeria
USM El Harrach,36.73451204,3.131462932,First tier,e41a1c,Algeria
Argentinos Juniors,-34.60611991,-58.47260714,First tier,e41a1c,Argentina
Arsenal de Sarandí,-34.67830551,-58.34056735,First tier,e41a1c,Argentina
Atlético de Rafaela,-31.25080924,-61.48134828,First tier,e41a1c,Argentina
Banfield,-34.75087782,-58.38753819,First tier,e41a1c,Argentina
Belgrano de Córdoba,-31.40351606,-64.2062366,First tier,e41a1c,Argentina
Boca Juniors,-34.63558255,-58.36463749,First tier,e41a1c,Argentina
Club Atlético Vélez Sarsfield,-34.63535744,-58.52066696,First tier,e41a1c,Argentina
Club Olimpo de Bahía Blanca,-38.72712881,-62.27598488,First tier,e41a1c,Argentina
Colón de Santa Fe,-31.6632443,-60.72517991,First tier,e41a1c,Argentina
CSD Defensa y Justicia,-34.82176582,-58.28653693,First tier,e41a1c,Argentina
Estudiantes de La Plata,-34.9137719,-57.98901558,First tier,e41a1c,Argentina
Gimnasia y Esgrima La Plata,-34.91095655,-57.9325819,First tier,e41a1c,Argentina
Godoy Cruz Antonio Tomba,-32.88957894,-68.880018,First tier,e41a1c,Argentina
Huracán,-34.64342542,-58.39650214,First tier,e41a1c,Argentina
Independiente,-34.6701924,-58.3709836,First tier,e41a1c,Argentina
Lanús,-34.7177083,-58.38381529,First tier,e41a1c,Argentina
